TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_FRAUD
59383,2021-08-01 00:04:37,323,217,4.6,0
59384,2021-08-01 00:12:10,6,429,8.61,0
59385,2021-08-01 00:12:34,714,1011,64.0,0
59386,2021-08-01 00:15:40,266,1969,12.72,0
59387,2021-08-01 00:16:01,890,1482,98.88,0
59388,2021-08-01 00:17:04,281,969,109.85,0
59389,2021-08-01 00:23:42,156,1377,24.04,0
59390,2021-08-01 00:31:56,373,1546,104.58,0
59391,2021-08-01 00:32:04,220,828,76.25,1
59392,2021-08-01 00:41:17,130,424,5.05,0
59393,2021-08-01 00:47:21,577,1369,3.55,0
59394,2021-08-01 00:47:48,981,614,52.22,0
59395,2021-08-01 00:48:52,669,1200,66.79,0
59396,2021-08-01 00:49:42,602,1338,100.67,0
59397,2021-08-01 00:53:08,429,627,30.34,0
59398,2021-08-01 00:53:33,967,279,132.57,0
59399,2021-08-01 00:55:49,161,440,56.94,0
59400,2021-08-01 00:58:23,586,514,18.38,0
59401,2021-08-01 01:04:48,921,1666,15.76,0
59402,2021-08-01 01:04:49,198,917,73.51,0
59403,2021-08-01 01:04:56,97,136,17.95,0
59404,2021-08-01 01:12:23,843,1976,79.97,0
59405,2021-08-01 01:13:56,340,1373,3.18,0
59406,2021-08-01 01:15:58,376,1559,107.27,0
59407,2021-08-01 01:18:26,873,90,14.08,0
59408,2021-08-01 01:23:25,90,1867,8.43,0
59409,2021-08-01 01:29:10,261,1786,101.29,0
59410,2021-08-01 01:30:05,891,121,47.47,0
59411,2021-08-01 01:31:44,725,1695,3.46,0
59412,2021-08-01 01:38:24,677,824,85.88,0
59413,2021-08-01 01:41:45,779,1787,119.54,0
59414,2021-08-01 01:43:11,2,1365,93.47,0
59415,2021-08-01 01:43:32,449,1649,156.45,0
59416,2021-08-01 01:55:00,575,341,65.41,0
59417,2021-08-01 02:00:40,368,1714,27.8,0
59418,2021-08-01 02:01:03,12,1238,71.32,0
59419,2021-08-01 02:02:09,184,814,1.92,0
59420,2021-08-01 02:02:30,918,309,6.93,0
59421,2021-08-01 02:03:30,453,1203,43.07,0
59422,2021-08-01 02:03:33,729,553,21.15,0
59423,2021-08-01 02:05:45,891,745,99.26,0
59424,2021-08-01 02:05:53,642,1069,23.18,0
59425,2021-08-01 02:06:37,131,903,70.7,0
59426,2021-08-01 02:08:39,360,322,58.11,0
59427,2021-08-01 02:09:27,148,257,30.36,0
59428,2021-08-01 02:10:33,807,1583,31.98,0
59429,2021-08-01 02:10:38,677,1179,61.8,0
59430,2021-08-01 02:11:21,741,1121,10.4,0
59431,2021-08-01 02:20:48,664,768,116.39,0
59432,2021-08-01 02:21:01,472,1628,45.09,0
59433,2021-08-01 02:21:10,509,1539,50.98,0
59434,2021-08-01 02:21:13,815,40,88.09,0
59435,2021-08-01 02:21:57,408,878,34.85,0
59436,2021-08-01 02:23:34,697,1009,60.59,0
